metric,label,format,domain,higher_is_better,definition,formula,strategic_use,high_value_interpretation,low_value_interpretation,trend_interpretation,caveats
occupancy_rate,Occupancy rate,percent,Utilization,TRUE,The share of available bed days that were filled by residents during the cost-reporting period.,Total resident days / total bed days available,"Used to assess capacity utilization, demand, referral strength, and whether the facility is carrying excess bed capacity.","Higher occupancy generally suggests stronger demand or better use of available capacity, but very high occupancy can reduce flexibility.","Lower occupancy may suggest referral leakage, market competition, quality/reputation issues, or excess capacity.",A declining trend may be a warning sign for market position; an improving trend may suggest stronger referral capture or demand recovery.,"Occupancy alone does not prove financial strength. Interpret it with payer mix, margin, staffing, and quality."
medicare_day_share,Medicare day share,percent,Payer mix,TRUE,The share of total resident days paid by Medicare.,Medicare days / total resident days,Used as a proxy for skilled/post-acute orientation and hospital referral capture.,"A higher share may reflect stronger post-acute volume, more skilled care, or greater Medicare payment exposure.",A lower share may indicate a more long-stay/custodial model or weaker skilled referral capture.,A declining trend may indicate loss of post-acute referrals or a shift toward long-stay utilization.,"This is not a direct case-mix measure and should eventually be interpreted with quality, PBJ staffing, hospital referral data, and Medicare Advantage context."
medicaid_day_share,Medicaid day share,percent,Payer mix,FALSE,The share of total resident days paid by Medicaid.,Medicaid days / total resident days,Used to assess long-stay payer dependence and exposure to state Medicaid reimbursement policy.,A higher share often reflects a long-stay nursing facility business model and may increase reimbursement adequacy risk.,"A lower share may reflect a more post-acute, private-pay, or other-payer business mix.",A rising trend may indicate increasing dependence on long-stay Medicaid volume.,"High Medicaid share is not automatically negative; it must be interpreted with state Medicaid rates, occupancy, costs, and margin."
other_day_share,Other/private day share,percent,Payer mix,TRUE,The share of resident days not classified as Medicare or Medicaid in the cost report.,Other days / total resident days,"Used as a broad proxy for private pay, managed care, commercial, or other payer activity.",A higher share may reflect payer diversity or private/managed-care activity.,A lower share may indicate heavier reliance on Medicare and Medicaid programs.,"A changing trend may suggest shifts in payer contracts, resident mix, or local market dynamics.",The category is broad and should not be treated as a clean private-pay measure without additional payer detail.
net_patient_revenue_per_day,Net patient revenue per resident day,dollar,Revenue,TRUE,Net patient care revenue divided by total resident days.,Net patient revenue / total resident days,"Used to evaluate revenue yield, reimbursement adequacy, payer mix, and payment performance.","A higher value may reflect stronger skilled mix, better reimbursement, higher acuity, or more favorable payer contracts.","A lower value may reflect Medicaid dependence, weaker payer contracts, lower acuity, or limited skilled volume.",Revenue/day should be compared with expense/day to identify margin compression or improvement.,Revenue per day should not be interpreted without payer mix and case-mix context.
operating_expense_per_day,Operating expense per resident day,dollar,Cost,FALSE,Total operating expense divided by total resident days.,Operating expense / total resident days,"Used to assess cost intensity, operating efficiency, labor pressure, and sustainability.","A higher value may reflect higher staffing costs, contract labor, acuity, overhead, or inefficiency.","A lower value may reflect efficiency, lower labor costs, lower acuity, or possible underinvestment.","If expenses grow faster than revenue/day, margin pressure may increase.","Lower expense is not always better. Interpret with staffing, quality, acuity, and occupancy."
patient_service_margin,Patient service margin,percent,Margin,TRUE,Net income from patient care services as a share of net patient revenue.,Net income from service to patients / net patient revenue,Used to assess whether patient care operations are financially sustainable.,A positive margin suggests care delivery revenue is covering related operating costs.,A negative margin suggests patient care operations are not covering costs.,"A worsening trend may indicate revenue pressure, cost growth, payer-mix deterioration, or staffing pressure.","This metric does not explain why margin is high or low; use it with revenue/day, expense/day, payer mix, and labor metrics."
total_margin,Total margin,percent,Margin,TRUE,Overall net income as a share of net patient revenue.,Net income / net patient revenue,Used to evaluate total financial performance after considering non-patient revenue or other income effects.,A higher value indicates stronger overall surplus relative to care revenue.,A lower or negative value indicates weaker overall financial performance.,A trend can reveal whether total profitability is improving or deteriorating.,"Total margin can be influenced by accounting, ownership structure, related-party activity, and other income."
salary_cost_per_day,Salary cost per resident day,dollar,Labor,FALSE,Adjusted salary expense divided by total resident days.,Adjusted salaries / total resident days,Used to assess direct labor cost intensity and compare staffing-cost pressure across peers.,"A higher value may indicate higher staffing levels, higher wages, acuity, or labor-market pressure.","A lower value may reflect efficiency, lower wage markets, lower staffing intensity, or possible underinvestment.","A rising trend may indicate wage inflation, staffing changes, or acuity changes.",Cost-report salary data does not directly measure staffing hours or quality; PBJ staffing should be added for stronger interpretation.
contract_labor_per_day,Contract labor per resident day,dollar,Labor,FALSE,Contract labor expense divided by total resident days.,Contract labor / total resident days,Used to assess agency or contracted labor cost pressure on a per-resident-day basis.,"A higher value may signal staffing shortages, agency reliance, or temporary labor-market disruption.",A lower value may indicate limited contract-labor reliance or stronger employee staffing stability.,A rising trend may be an early indicator of staffing stress or wage pressure.,Some contract labor can be normal or temporary; pair with PBJ staffing and local labor-market context.
